Date,Close/Last,Volume,Open,High,Low
10/28/2021,$113.20,7697552,$113.74,$114.60,$112.46
10/27/2021,$113.51,5853912,$115.57,$115.57,$113.08
10/26/2021,$114.92,5947994,$114.92,$115.28,$114.25
10/25/2021,$114.71,4290626,$114.74,$114.88,$113.355
10/22/2021,$114.55,3396356,$114.41,$114.98,$114.07
10/21/2021,$114.44,3684290,$113.93,$114.56,$113.61
10/20/2021,$113.86,7645178,$113.0635,$115.1127,$112.71
10/19/2021,$113.49,5799287,$113.74,$114.54,$112.76
10/18/2021,$113.37,4958432,$111.44,$113.57,$110.96
10/15/2021,$111.45,5860872,$112.45,$112.92,$110.95
10/14/2021,$111.87,5196329,$111.08,$112.61,$111.01
10/13/2021,$110.76,4808625,$111.39,$111.48,$109.41
10/12/2021,$111.00,3866802,$111.72,$111.873,$110.655
10/11/2021,$110.94,5987335,$112.89,$113.56,$110.92
10/08/2021,$111.22,3786964,$112.58,$112.655,$111.13
10/07/2021,$112.21,5549460,$112.38,$112.98,$112.05
10/06/2021,$111.64,5734477,$110.18,$112.02,$109.48
10/05/2021,$110.85,5883995,$111.125,$111.48,$110.03
10/04/2021,$111.46,4497726,$112.43,$113.08,$111.0165
10/01/2021,$112.92,5636865,$110.89,$113.46,$110.54
09/30/2021,$110.31,5976056,$111.52,$112.16,$110.31
09/29/2021,$112.17,4389131,$111.90,$112.52,$111.57
09/28/2021,$111.71,5917926,$112.675,$113.00,$111.08
09/27/2021,$113.68,3988883,$113.612,$114.67,$112.91
09/24/2021,$114.11,3955231,$114.13,$114.86,$113.76
09/23/2021,$114.14,3841978,$113.39,$114.71,$113.10
09/22/2021,$113.07,4578157,$113.06,$114.03,$112.32
09/21/2021,$112.22,5468438,$111.92,$113.60,$111.75
09/20/2021,$111.82,7795222,$111.354,$112.27,$110.38
09/17/2021,$113.41,9261033,$114.54,$114.85,$113.12
09/16/2021,$114.67,7996996,$114.79,$115.2699,$113.193
09/15/2021,$114.64,11556160,$116.955,$117.02,$113.12
09/14/2021,$118.86,4722752,$119.724,$119.86,$118.36
09/13/2021,$119.18,4381067,$119.89,$120.15,$118.555
09/10/2021,$119.34,6517864,$119.35,$120.76,$118.89
09/09/2021,$118.79,4711219,$117.98,$120.07,$117.80
09/08/2021,$118.04,5548351,$116.10,$118.19,$115.51
09/07/2021,$115.79,4265770,$117.09,$117.13,$115.47
09/03/2021,$117.19,2922141,$116.838,$117.58,$116.34
09/02/2021,$117.37,3802306,$118.29,$118.36,$116.90
09/01/2021,$117.45,4402679,$118.01,$118.33,$117.275
08/31/2021,$117.49,6995511,$115.77,$117.60,$115.65
08/30/2021,$115.61,3078210,$115.61,$115.82,$114.63
08/27/2021,$115.12,4204688,$114.605,$115.39,$114.18
08/26/2021,$114.32,5188196,$115.62,$115.77,$113.86
08/25/2021,$115.57,3881496,$115.59,$115.99,$115.00
08/24/2021,$115.08,3447343,$115.39,$115.85,$114.94
08/23/2021,$115.15,4235113,$114.71,$115.46,$114.71
08/20/2021,$114.63,3486323,$113.98,$115.00,$113.66
08/19/2021,$114.32,5317417,$114.51,$115.0689,$113.61
08/18/2021,$115.68,4520484,$116.28,$116.735,$115.60
08/17/2021,$116.57,4719788,$116.62,$116.94,$115.56
08/16/2021,$117.54,5976599,$116.693,$117.73,$116.41
08/13/2021,$116.76,4361653,$115.94,$116.83,$115.40
08/12/2021,$115.75,4358487,$116.41,$116.78,$115.51
08/11/2021,$116.50,6472318,$116.34,$117.285,$115.90
08/10/2021,$116.39,9839675,$118.39,$118.50,$115.98
08/09/2021,$117.94,4557888,$118.99,$119.02,$117.75
08/06/2021,$119.05,6832572,$119.14,$119.21,$118.08
08/05/2021,$119.03,4281905,$118.72,$119.09,$118.11
08/04/2021,$118.25,6675845,$119.13,$119.21,$117.57
08/03/2021,$119.13,6030518,$120.57,$120.75,$117.5201
08/02/2021,$120.37,5996786,$122.027,$122.98,$120.065
07/30/2021,$121.43,5712315,$122.19,$122.98,$121.10
07/29/2021,$122.38,6618350,$122.93,$123.47,$122.14
07/28/2021,$122.41,11747040,$122.555,$123.33,$121.39
07/27/2021,$126.03,6110914,$126.08,$126.16,$124.81
07/26/2021,$126.06,4827462,$125.74,$126.10,$124.2501
07/23/2021,$125.97,7934201,$124.55,$126.32,$123.92
07/22/2021,$122.63,7172344,$119.34,$122.92,$119.07
07/21/2021,$119.27,4377463,$117.54,$119.65,$117.48
07/20/2021,$117.42,5118174,$115.63,$118.0696,$115.33
07/19/2021,$115.32,7731263,$117.54,$117.55,$114.33
07/16/2021,$118.73,5024843,$119.675,$120.48,$118.50
07/15/2021,$118.97,6467481,$119.29,$119.5795,$118.18
07/14/2021,$119.80,5701765,$119.94,$120.825,$119.68
07/13/2021,$119.55,5529344,$118.54,$119.99,$118.45
07/12/2021,$118.46,5683576,$117.75,$118.775,$117.39
07/09/2021,$117.47,3533636,$116.06,$117.7375,$116.00
07/08/2021,$115.99,4486121,$115.45,$116.76,$115.24
07/07/2021,$117.14,5382304,$115.88,$117.77,$115.65
07/06/2021,$115.73,5294660,$115.08,$115.85,$114.32
07/02/2021,$114.97,4723386,$113.97,$115.30,$113.71
07/01/2021,$113.41,4810618,$111.95,$113.49,$111.81
06/30/2021,$111.81,6759115,$112.34,$112.59,$111.27
06/29/2021,$112.27,3789517,$112.07,$112.69,$111.53
06/28/2021,$112.24,4546564,$112.93,$113.05,$111.445
06/25/2021,$113.04,12171220,$112.75,$113.22,$112.22
06/24/2021,$111.99,3840030,$111.78,$112.91,$111.78
06/23/2021,$111.56,3552086,$111.275,$111.97,$111.14
06/22/2021,$111.85,3583547,$111.07,$112.26,$110.60
06/21/2021,$110.97,5628664,$110.00,$111.37,$109.68
06/18/2021,$109.70,7024352,$110.74,$110.75,$109.2615
06/17/2021,$111.39,4008537,$111.00,$111.945,$110.71
06/16/2021,$111.36,4821951,$112.42,$112.57,$110.20
06/15/2021,$111.89,3487317,$112.46,$112.50,$111.56
06/14/2021,$112.45,4222383,$112.78,$113.225,$111.50
06/11/2021,$112.56,3231182,$112.28,$112.83,$112.185
06/10/2021,$112.21,3833190,$111.80,$112.43,$111.4422
06/09/2021,$111.39,3669725,$111.736,$112.19,$111.33
06/08/2021,$111.52,4669852,$111.38,$111.99,$110.86
06/07/2021,$111.33,4009023,$111.98,$112.2768,$110.99
